year,transect,POPR,BRIN,NatC3,IntC3,NatC4,IntC4,Natleg,Intleg,NatForb,IntForb,NatWoody,IntWoody,Bare,Dead,Robel,LitterDepth,TRT,bloop1,TSF,BurnSeason
2017,DSWNWW,41.2,38.35,4.15,0,0,0,4.35,1.65,16.15,0.6,10.3,0,0.75,5.85,3.175,22.375,PBG40,DSWNWW20171,UNB,NA
2018,DSWNWW,34.2,24.85,3,0,0,0,5.7,2.2,18.7,0.9,14.65,0,3.8,5.55,4.05,29.95,PBG40,DSWNWW20181,UNB,NA
2019,DSWNWW,34.2,24.85,3,0,0,0,5.7,2.2,18.7,0.9,14.65,0,3.8,5.55,4.05,29.95,PBG40,DSWNWW20191,UNB,NA
2020,DSWNWW,30.05,5.7,1.95,0.9,1.95,0,7.8,0.15,14.25,0.15,9.3,0,6.25,14.3,1.8375,14.0625,PBG40,DSWNWW20201,0,SPRING
2017,DSWSEE,27.05,28,8.6,3.45,0.15,0,3.9,1.8,17.65,3.3,7.75,0,0.3,14.2,2.6,23.875,PBG40,DSWSEE20171,UNB,NA
2018,DSWSEE,33.05,19.85,7.5,0.15,0,0,4.8,1.35,14.4,3.9,7.3,0,3.85,6.1,3.85,18.55,PBG40,DSWSEE20181,UNB,NA
2019,DSWSEE,7.6,3.7,18.85,3.15,3.55,0,18.95,0.3,14.9,3.8,1.35,0.15,8,4,2.85,2.925,PBG40,DSWSEE20191,0,SPRING
2020,DSWSEE,23.3,4.05,25.25,1.65,1.2,0,7.1,1.95,24.45,0.6,1.65,0,5.7,10.7,2.35,7.0875,PBG40,DSWSEE20201,1,SPRING
2017,DSWSEW,28.6,20.2,14.9,0.15,4.1,0,3.75,3.6,11.75,0.9,3.1,0,0.9,11.95,2.2,19.0625,PBG40,DSWSEW20171,UNB,NA
2018,DSWSEW,30.25,17.35,2.25,0,0,0,7.05,0.3,17.15,1.8,1.05,0,4.4,4.2,3.8,21.85,PBG40,DSWSEW20181,UNB,NA
2019,DSWSEW,18.75,6.583333,5.666667,0,0.25,0,8.25,1.75,18.16667,1.75,3.5,0,24.91667,33.58333,1.583333,9.895833,PBG40,DSWSEW20191,0,SPRING
2020,DSWSEW,27.45,3.3,17.15,0.15,0.15,0,3.3,0.6,17.55,1.2,0.3,0,5.7,17.95,1.8125,6.4875,PBG40,DSWSEW20201,1,SPRING
2017,DSWSWN,27.75,24,11.15,0.6,0.3,0,3.3,5.65,7.2,1.8,6.6,0,5.55,2.7,1.7875,7,PBG40,DSWSWN20171,0,SPRING
2018,DSWSWN,38.2,21.6,4.65,0,3.15,0,9.05,5.2,13.55,3.1,10.15,0,4.45,1.2,4.05,8.15,PBG40,DSWSWN20181,1,SPRING
